"Player","Squad","Born","PrgC","PrgP","Gls","Ast","G+A","xG","xAG"
Abdoulaye Doucour�,Everton,1993,23,38,0.29,0.12,0.41,0.14,0.13
D�sir� Dou�,Rennes,2005,39,57,0.24,0.08,0.32,0.13,0.12
Isma�l Doukour�,Strasbourg,2003,27,99,0.04,0.04,0.08,0.01,0.02
Kamory Doumbia,Reims,2003,29,85,0.16,0.16,0.31,0.29,0.23
Dion Drena Beljo,Augsburg,2002,14,15,0.24,0.16,0.4,0.12,0.13
Dominick Drexler,Schalke 04,1990,17,52,0.26,0.2,0.46,0.16,0.14
Marvin Ducksch,Werder Bremen,1994,31,58,0.38,0.19,0.57,0.36,0.17
Denzel Dumfries,Inter,1996,62,59,0.04,0.16,0.2,0.15,0.2
Hugo Duro,Valencia,1999,9,19,0.06,0.06,0.13,0.29,0.07
Paulo Dybala,Roma,1993,56,75,0.62,0.31,0.93,0.48,0.36
Edin D�eko,Inter,1986,32,67,0.47,0.16,0.62,0.5,0.17
Tyronne Ebuehi,Empoli,1995,31,41,0.09,0.19,0.28,0.14,0.09
�derson,Atalanta,1999,37,93,0.04,0.04,0.08,0.08,0.09
Odsonne �douard,Crystal Palace,1998,29,32,0.25,0.1,0.35,0.21,0.06
Maximilian Eggestein,Freiburg,1996,20,93,0.04,0.07,0.11,0.03,0.06
��igo Eguaras,Almer�a,1992,8,61,0.09,0.09,0.19,0.1,0.06
Hugo Ekitike,Paris S-G,2002,23,23,0.23,0.31,0.55,0.29,0.13
Harvey Elliott,Liverpool,2003,54,142,0.06,0.11,0.17,0.12,0.2
Elif Elmas,Napoli,1999,42,73,0.33,0.17,0.5,0.22,0.11
Mohamed Elyounoussi,Southampton,1994,56,50,0.04,0.04,0.08,0.15,0.09
Adri Embarba,Almer�a,1992,62,47,0.24,0.18,0.43,0.23,0.21
Breel Embolo,Monaco,1997,24,52,0.58,0.1,0.68,0.41,0.16
Emerson,Tottenham,1999,47,80,0.1,0.05,0.16,0.09,0.03
Youssef En-Nesyri,Sevilla,1997,16,12,0.43,0.05,0.49,0.44,0.06
Wataru Endo,Stuttgart,1993,32,171,0.15,0.12,0.28,0.12,0.15
Christian Eriksen,Manchester United,1992,23,164,0.04,0.35,0.4,0.22,0.19
Gonzalo Escalante,Cediz,1993,3,50,0.32,0.08,0.4,0.28,0.12
Pervis Estupi��n,Brighton,1998,91,157,0.03,0.17,0.2,0.06,0.18
Edu Exp�sito,Espanyol,1996,19,72,0.16,0.16,0.31,0.07,0.18
Eberechi Eze,Crystal Palace,1998,69,131,0.34,0.14,0.48,0.25,0.15
Abdessamad Ezzalzouli,Osasuna,2001,93,44,0.24,0.12,0.36,0.16,0.11
Wout Faes,Leicester City,1998,11,74,0.03,0.06,0.1,0.04,0.02
Nicol� Fagioli,Juventus,2001,27,56,0.18,0.18,0.36,0.09,0.08
Romain Faivre,Lorient,1998,77,67,0.36,0.22,0.58,0.19,0.15
Davide Faraoni,Hellas Verona,1991,11,54,0.12,0.18,0.3,0.17,0.06
Ansu Fati,Barcelona,2002,47,48,0.45,0.19,0.65,0.59,0.11
Nabil Fekir,Betis,1993,42,41,0.19,0.19,0.37,0.23,0.26
Joao Felix,Atletico Madrid,1999,17,27,0.55,0.42,0.97,0.39,0.2
Evan Ferguson,Brighton,2004,11,14,0.57,0.19,0.76,0.51,0.07
Bruno Fernandes,Manchester United,1994,89,263,0.22,0.22,0.43,0.25,0.45
Jordan Ferri,Montpellier,1992,37,209,0.03,0.07,0.1,0.03,0.1
Fidel,Elche,1989,53,139,0.16,0.11,0.26,0.12,0.12
Roberto Firmino,Liverpool,1991,16,78,0.82,0.3,1.11,0.41,0.19
Junior Firpo,Leeds United,1996,20,54,0.07,0.07,0.13,0.01,0.05
Alexis Flips,Reims,2000,23,110,0.18,0.27,0.46,0.18,0.28
Phil Foden,Manchester City,2000,68,88,0.54,0.29,0.83,0.29,0.23
Seko Fofana,Lens,1995,117,165,0.21,0.15,0.35,0.27,0.11
Youssouf Fofana,Monaco,1999,81,238,0.06,0.06,0.12,0.08,0.13
Pablo Fornals,West Ham,1996,33,89,0.18,0.06,0.24,0.13,0.1
Emil Forsberg,RB Leipzig,1991,20,67,0.36,0.24,0.61,0.3,0.14
Philipp F�rster,Bochum,1995,19,63,0.21,0.48,0.69,0.1,0.23
Przemys?aw Frankowski,Lens,1995,51,132,0.16,0.1,0.25,0.13,0.22
Fred,Manchester United,1993,10,76,0.14,0.14,0.29,0.14,0.21
Jeremie Frimpong,Leverkusen,2000,155,62,0.27,0.23,0.5,0.25,0.21
Chris F�hrich,Stuttgart,1998,93,83,0.24,0.1,0.33,0.17,0.23
Angelo Fulgini,Lens,1996,20,43,0.1,0.1,0.21,0.13,0.29
Niclas F�llkrug,Werder Bremen,1993,41,90,0.58,0.18,0.76,0.47,0.13
Manolo Gabbiadini,Sampdoria,1991,32,55,0.27,0.08,0.34,0.28,0.17
